model,horizon,threshold,run_id,start,end,timestamps,alerts,true_alerts,false_alerts,onsets,warned_onsets,location_hours,median_lead_minutes,onset_recall,precision,false_warnings_per_location_day,AP,ap_samples,ap_positive,prevalence
v5,60,0.301,23,202609010445,202609010445,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,60,0.301,24,202609010650,202609010655,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,25,202609011020,202609011055,8,0,0,0,0,0,0.0,,,,,0.0677932520388986,72,8,0.1111111111111111
v5,60,0.301,26,202609011200,202609011340,21,0,0,0,2,0,6.75,,0.0,,0.0,0.22292246212299574,184,24,0.13043478260869565
v5,60,0.301,27,202609012020,202609012030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,60,0.301,28,202609012345,202609020035,11,0,0,0,0,0,0.0,,,,,,99,0,0.0
v5,60,0.301,29,202609020440,202609020845,50,0,0,0,0,0,28.500000000000004,,,,0.0,0.012547140694418797,450,7,0.015555555555555555
v5,60,0.301,30,202609021055,202609021325,31,2,2,0,3,1,14.250000000000002,12.5,0.3333333333333333,1.0,0.0,0.5197087885605194,263,49,0.18631178707224336
v5,60,0.301,31,202609021525,202609021705,21,0,0,0,0,0,6.75,,,,0.0,,189,0,0.0
v5,60,0.301,32,202609021850,202609021910,5,0,0,0,0,0,0.0,,,,,,45,0,0.0
v5,60,0.301,33,202609022015,202609022110,12,0,0,0,0,0,0.0,,,,,,108,0,0.0
v5,60,0.301,34,202609022215,202609022310,12,0,0,0,0,0,0.0,,,,,,108,0,0.0
v5,60,0.301,35,202609030015,202609030055,9,0,0,0,0,0,0.0,,,,,,81,0,0.0
v5,60,0.301,36,202609030445,202609030445,1,0,0,0,0,0,0.0,,,,,0.2,9,1,0.1111111111111111
v5,60,0.301,37,202609030755,202609031205,51,0,0,0,0,0,29.25,,,,0.0,,459,0,0.0
v5,60,0.301,38,202609031855,202609040020,66,0,0,0,0,0,40.5,,,,0.0,,594,0,0.0
v5,60,0.301,39,202609040205,202609040205,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,60,0.301,40,202609040445,202609040630,22,0,0,0,0,0,7.499999999999999,,,,0.0,,198,0,0.0
v5,60,0.301,41,202609040805,202609040810,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,42,202609051450,202609051530,9,0,0,0,0,0,0.0,,,,,,81,0,0.0
v5,60,0.301,43,202609051735,202609051905,19,0,0,0,0,0,5.25,,,,0.0,,171,0,0.0
v5,60,0.301,44,202609052100,202609052315,28,0,0,0,5,0,12.0,,0.0,,0.0,0.4590599416403283,241,28,0.11618257261410789
v5,60,0.301,45,202609060100,202609060155,12,0,0,0,0,0,0.0,,,,,,108,0,0.0
v5,60,0.301,46,202609060535,202609060550,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,60,0.301,47,202609060655,202609060655,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,60,0.301,48,202609060800,202609060810,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,60,0.301,49,202609060915,202609061040,18,0,0,0,0,0,4.5,,,,0.0,,162,0,0.0
v5,60,0.301,50,202609061145,202609061150,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,51,202609061420,202609061425,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,52,202609061530,202609061630,13,0,0,0,0,0,0.75,,,,0.0,,117,0,0.0
v5,60,0.301,53,202609061945,202609061945,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,60,0.301,54,202609062050,202609062235,22,0,0,0,0,0,7.499999999999999,,,,0.0,,198,0,0.0
v5,60,0.301,55,202609070435,202609070610,20,0,0,0,0,0,6.0,,,,0.0,,180,0,0.0
v5,60,0.301,56,202609070810,202609070815,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,57,202609071020,202609071030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,60,0.301,58,202609071320,202609071325,2,0,0,0,0,0,0.0,,,,,1.0,18,2,0.1111111111111111
v5,60,0.301,59,202609071435,202609071515,9,0,0,0,0,0,0.0,,,,,,81,0,0.0
v5,60,0.301,60,202609071800,202609071805,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,61,202609081035,202609081100,6,0,0,0,0,0,0.0,,,,,,54,0,0.0
v5,60,0.301,62,202609081210,202609081355,22,0,0,0,0,0,7.499999999999999,,,,0.0,,198,0,0.0
v5,60,0.301,63,202609081510,202609082030,65,0,0,0,0,0,39.75,,,,0.0,,585,0,0.0
v5,60,0.301,64,202609082150,202609082310,17,0,0,0,0,0,3.7499999999999996,,,,0.0,,153,0,0.0
v5,60,0.301,65,202609091320,202609091350,7,0,0,0,0,0,0.0,,,,,,63,0,0.0
v5,60,0.301,66,202609091510,202609092250,93,0,0,0,0,0,60.75,,,,0.0,,837,0,0.0
v5,60,0.301,67,202609100235,202609100250,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,60,0.301,68,202609100440,202609100615,20,0,0,0,0,0,6.0,,,,0.0,0.39178556249984614,178,15,0.08426966292134831
v5,60,0.301,69,202609100720,202609100810,11,0,0,0,0,0,0.0,,,,,0.7808192120457644,93,39,0.41935483870967744
v5,60,0.301,70,202609100930,202609101350,53,2,1,1,1,1,30.750000000000004,15.0,1.0,0.5,0.7804878048780487,0.27382094300915805,474,26,0.05485232067510549
v5,60,0.301,71,202609101455,202609101620,18,0,0,0,1,0,4.5,,0.0,,0.0,0.5383516923921644,154,21,0.13636363636363635
